Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,7405.0,7510.0,7050.0,7110.0,7110.0,39982810
2016-01-05,7075.0,7180.0,7005.0,7040.0,7040.0,30404832
2016-01-06,7055.0,7120.0,6800.0,6910.0,6910.0,34301574
2016-01-07,6860.0,6895.0,6585.0,6585.0,6585.0,38430902
2016-01-08,6460.0,6745.0,6400.0,6550.0,6550.0,50189410
2016-01-12,6390.0,6425.0,6150.0,6190.0,6190.0,38431628
2016-01-13,6355.0,6530.0,6345.0,6525.0,6525.0,28028454
2016-01-14,6125.0,6205.0,5950.0,6180.0,6180.0,49656916
2016-01-15,6410.0,6445.0,6040.0,6100.0,6100.0,42952712
2016-01-18,5800.0,6030.0,5755.0,5970.0,5970.0,49341856
2016-01-19,5935.0,6075.0,5865.0,6045.0,6045.0,39798718
2016-01-20,6010.0,6020.0,5565.0,5595.0,5595.0,49816774
2016-01-21,5645.0,5810.0,5315.0,5325.0,5325.0,66036380
2016-01-22,5675.0,5965.0,5605.0,5930.0,5930.0,55331854
2016-01-25,6080.0,6120.0,5910.0,6045.0,6045.0,46982496
2016-01-26,5800.0,5845.0,5715.0,5755.0,5755.0,31080418
2016-01-27,5990.0,6130.0,5930.0,6060.0,6060.0,43248364
2016-01-28,5975.0,6125.0,5910.0,6000.0,6000.0,40345936
2016-01-29,6030.0,6470.0,5775.0,6355.0,6355.0,92542032
2016-02-01,6525.0,6600.0,6455.0,6575.0,6575.0,43179322
2016-02-02,6435.0,6570.0,6430.0,6490.0,6490.0,33749256
2016-02-03,6240.0,6270.0,5990.0,6085.0,6085.0,56953844
2016-02-04,5975.0,6090.0,5900.0,5965.0,5965.0,44256204
2016-02-05,5790.0,5865.0,5675.0,5820.0,5820.0,37630912
2016-02-08,5670.0,6005.0,5625.0,5945.0,5945.0,37285862
2016-02-09,5485.0,5520.0,5260.0,5310.0,5310.0,51123700
2016-02-10,5345.0,5360.0,4860.0,5025.0,5025.0,52074918
2016-02-12,4605.0,4775.0,4500.0,4565.0,4565.0,69311272
2016-02-15,4940.0,5285.0,4885.0,5200.0,5200.0,46411564
2016-02-16,5095.0,5410.0,5075.0,5210.0,5210.0,61813352
2016-02-17,5175.0,5325.0,4935.0,5080.0,5080.0,50704764
2016-02-18,5375.0,5400.0,5250.0,5300.0,5300.0,44966276
2016-02-19,5175.0,5200.0,5040.0,5170.0,5170.0,38129276
2016-02-22,5065.0,5300.0,5055.0,5240.0,5240.0,41348522
2016-02-23,5325.0,5405.0,5180.0,5210.0,5210.0,44419290
2016-02-24,5080.0,5185.0,5010.0,5115.0,5115.0,47992698
2016-02-25,5165.0,5325.0,5150.0,5295.0,5295.0,44812134
2016-02-26,5400.0,5490.0,5300.0,5310.0,5310.0,42307832
2016-02-29,5410.0,5485.0,5215.0,5215.0,5215.0,42663428
2016-03-01,5185.0,5250.0,5085.0,5235.0,5235.0,40112968
2016-03-02,5520.0,5710.0,5480.0,5655.0,5655.0,51185130
2016-03-03,5635.0,5810.0,5630.0,5810.0,5810.0,43014684
2016-03-04,5785.0,5870.0,5740.0,5845.0,5845.0,40104748
2016-03-07,5860.0,5865.0,5765.0,5775.0,5775.0,27493816
2016-03-08,5760.0,5775.0,5540.0,5675.0,5675.0,45898570
2016-03-09,5580.0,5640.0,5490.0,5595.0,5595.0,34144570
2016-03-10,5705.0,5750.0,5630.0,5725.0,5725.0,31070506
2016-03-11,5575.0,5840.0,5535.0,5790.0,5790.0,48380428
2016-03-14,5940.0,6035.0,5925.0,5990.0,5990.0,30178594
2016-03-15,5990.0,6035.0,5855.0,5900.0,5900.0,31816360
2016-03-16,5825.0,5905.0,5795.0,5815.0,5815.0,25635554
2016-03-17,5900.0,6000.0,5700.0,5780.0,5780.0,44539782
2016-03-18,5750.0,5780.0,5560.0,5635.0,5635.0,43160150
2016-03-22,5820.0,5900.0,5720.0,5840.0,5840.0,34398812
2016-03-23,5865.0,5920.0,5795.0,5830.0,5830.0,21504388
2016-03-24,5790.0,5855.0,5710.0,5745.0,5745.0,24948496
2016-03-25,5795.0,5840.0,5745.0,5820.0,5820.0,16858040
2016-03-28,5900.0,5940.0,5785.0,5890.0,5890.0,27493450
2016-03-29,5875.0,6000.0,5865.0,5980.0,5980.0,30232336
